=== FFI (Foreign Function & Memory API) Hits ===
Format: callerSig | lib | symbol | mechanism | jar
<org.apache.tomcat.util.openssl.openssl_h: long OpenSSL_version_num()> | ssl | OpenSSL_version_num | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int BIO_write(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,int)> | ssl | BIO_write | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment SSL_CIPHER_get_name(java.lang.foreign.MemorySegment)> | ssl | SSL_CIPHER_get_name | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment SSL_CONF_CTX_new()> | ssl | SSL_CONF_CTX_new | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment EC_KEY_new_by_curve_name(int)> | ssl | EC_KEY_new_by_curve_name | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void SSL_CONF_CTX_set_ssl_ctx(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | SSL_CONF_CTX_set_ssl_ctx | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment X509_STORE_CTX_get0_untrusted(java.lang.foreign.MemorySegment)> | ssl | X509_STORE_CTX_get0_untrusted | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int X509_STORE_set_flags(java.lang.foreign.MemorySegment,long)> | ssl | X509_STORE_set_flags | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_pending(java.lang.foreign.MemorySegment)> | ssl | SSL_pending | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment d2i_X509(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,long)> | ssl | d2i_X509 | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment SSL_CTX_get_ciphers(java.lang.foreign.MemorySegment)> | ssl | SSL_CTX_get_ciphers | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment OSSL_PROVIDER_get0_name(java.lang.foreign.MemorySegment)> | ssl | OSSL_PROVIDER_get0_name | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment BN_get_rfc2409_prime_1024(java.lang.foreign.MemorySegment)> | ssl | BN_get_rfc2409_prime_1024 | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: long SSL_get_options(java.lang.foreign.MemorySegment)> | ssl | SSL_get_options | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int i2d_X509(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | i2d_X509 | downcallHandle | tomcat-coyote-ffm.jar
